城市|职位名称|公司名称|薪资|地点|经验|学历|公司性质
北京|python开发|高伟达|1.3-1.9万|北京·朝阳·麦子店|3-5年|本科|民营
北京|H80192岗 python后端开发工程师004 双休|武汉佰钧成技术有限责任公司|1.7-1.8万|北京·朝阳·酒仙桥|3-5年|本科|民营
北京|Python开发工程师|软通动力信息技术(集团)股份有限公司|2-2.4万|北京·朝阳·建外|3-5年|本科|民营
北京|C/C++开发(统本，熟悉python，会shell开发)|北京青钱信息技术有限公司|1.5-1.8万|北京·通州·马驹桥|3-5年|本科|民营
北京|大模型python开发工程师|中电金信软件有限公司|1-1.7万|北京·朝阳·望京|1-3年|本科|国企
北京|高端python实习生|英视睿达|150-200元/天|北京·海淀·甘家口|经验不限|硕士|民营
北京|python爬虫/情报分析工程师|长安通信科技有限责任公司|1.1-1.5万|北京·昌平·北七家|经验不限|本科|国企
北京|Python开发工程师|北京鑫源联创科技有限责任公司|1-2万|北京·海淀·清河|3-5年|大专|民营
北京|python后端开发工程师（国有控股）|携汇智联技术(北京)有限公司|1.8-3.5万|北京·顺义·空港|3-5年|本科|民营
北京|Python开发工程师|亚信科技(中国)有限公司|1.2-2万·13薪|北京·海淀·马连洼|3-5年|本科|民营
北京|python算法工程师|鑫锡软件(朝阳)有限公司|1.3-2.3万|北京·朝阳|3-5年|本科|民营
北京|python研发经理|携汇智联技术(北京)有限公司|2-4万|北京·顺义·空港|5-10年|本科|民营
北京|python后端开发工程师|陕西中讯时代信息技术有限公司|1.2-2.2万|北京·海淀|5-10年|本科|民营
北京|软件开发工程师（Java，JS，Python，算法，安卓等都在招）|外企德科数字技术有限公司|1.5-3万|北京·海淀|经验不限|本科|合资
北京|Python开发工程师|北京世纪互联软件开发有限公司|1-1.5万|北京·朝阳|1-3年|本科|民营
北京|后端开发工程师（Java/Python）|北京鑫质世纪科技股份有限公司|1-2万|北京·东城·和平里|3-5年|本科|民营
北京|Java/C/C++/python/web|外企德科数字技术有限公司|1.4-2.2万|北京·昌平·北七家|经验不限|本科|合资
北京|python后端开发|外企德科|1.4-1.6万|北京·朝阳|3-5年|本科|合资
北京|Python软件工程师|新疆驰远天合有限责任会计师事务所|9000-11000元|北京·丰台·花乡|1-3年|本科|民营
北京|Java/c/c++/python/js软件开发工程师|外企德科数字技术有限公司|1.4-2.8万·14薪|北京·海淀|经验不限|本科|合资
北京|Python/双休|四川蔡蔡人力资源有限公司|1.5-2万·13薪|北京·海淀·学院路|1-3年|本科|民营
北京|python高级后端开发工程师|软通动力信息技术(集团)股份有限公司|1.1-1.3万|北京·海淀·马连洼|5-10年|本科|民营
北京|java/c++/python后端开发/软件测试|外企德科数字技术有限公司|1.5-3万·16薪|北京·朝阳|经验不限|本科|合资
北京|python后端开发工程师|世华软(北京)技术有限公司|1.4-1.7万|北京·海淀·海淀街道|1-3年|本科|民营
北京|python开发工程师|北京阿提拉科技有限公司|1.2-1.8万|北京·西城·展览路|3-5年|大专|民营
北京|软件开发（多语言 Java Python C/C++js等测试|外企德科数字技术有限公司|1.2-2.4万|北京·海淀|经验不限|本科|合资
北京|python 智能外呼研发工程师|北京智远恒创科技有限公司|1-1.6万|北京·东城·朝阳门|1-3年|本科|民营
北京|python爬虫工程师|北京阿提拉科技有限公司|1.2-2万|北京·西城·展览路|3-5年|大专|民营
北京|软件开发（多语言 Java Python C/C++js等测试|外企德科数字技术有限公司|1.2-2.4万|北京·海淀|经验不限|本科|合资
北京|Python后端开发工程师（大模型方向）|武汉佰钧成技术有限责任公司|1.8-1.9万|北京·朝阳·酒仙桥|经验不限|本科|民营
北京|Python数据采集工程师|北京阿提拉科技有限公司|1.5-2万|北京·西城·展览路|3-5年|本科|民营
北京|c++/python/java/c/算法/测试|外企德科数字技术有限公司|1.5-3万·14薪|北京·海淀|经验不限|本科|合资
北京|python后端开发工程师|奥维数字科技有限公司|1.3-1.8万|北京·丰台·石榴庄|3-5年|本科|民营
北京|C/C++（熟悉python,稳定）|北京青钱信息技术有限公司|1.5-1.8万|北京·通州·马驹桥|3-5年|本科|民营
北京|软件开发工程师（Java/C/C++/python)|外企德科数字技术有限公司|1.5-3万·14薪|北京·海淀·上地|经验不限|本科|合资
北京|Python开发|中电汇通|1.5-1.8万|北京·丰台·太平桥|3-5年|本科|民营
北京|模型应用开发工程师（Python / 全栈方向）|陕西康惠制药股份有限公司|1-1.2万|北京·昌平·城北|1-3年|本科|民营
